[00:00.12] Hay
[00:00.18]  una
[00:00.36]  ca
[00:00.48] ja
[00:00.59]  de
[00:00.71]  cart
[00:00.94] ón
[00:01.14]  con
[00:01.32]  un
[00:01.44]  pol
[00:01.62] vo
[00:01.74]  bl
[00:01.86] anco
[00:02.12]  arriba
[00:02.56]  del
[00:02.78]  banco
[00:03.15]  de
[00:03.30]  mi
[00:03.45]  taller
[00:03.86] .
[00:04.00]  Cu
[00:04.24] esta
[00:04.45]  poco
[00:04.77]  más
[00:05.01]  de
[00:05.15]  mil
[00:05.37]  pesos
[00:05.74]  en
[00:05.88]  cualquier
[00:06.54]  fer
[00:06.76] re
[00:06.90] ter
[00:07.11] ía
[00:07.33]  del
[00:07.50]  país
[00:07.99] .
[00:08.00]  La
[00:08.29]  comp
[00:08.54] ré
[00:08.81]  hace
[00:09.17]  once
[00:09.53]  años
[00:09.86] ,
[00:10.28]  todavía
[00:10.66]  me
[00:10.81]  queda
[00:11.12]  más
[00:11.38]  de
[00:11.51]  la
[00:11.64]  mitad
[00:12.00] .
[00:12.00]  Con
[00:12.25]  ese
[00:12.75]  pol
[00:12.77] vo
[00:12.92]  trat
[00:13.26] é
[00:13.43]  las
[00:13.68]  vig
[00:13.93] as
[00:14.09]  del
[00:14.35]  gal
[00:14.60] p
[00:14.68] ón
[00:15.00] ,
[00:15.43]  los
[00:15.57]  post
[00:15.84] es
[00:15.94]  del
[00:16.20]  gall
[00:16.54] in
[00:16.71] ero
[00:17.00] ,
[00:17.00]  los
[00:17.33]  mar
[00:17.36] cos
[00:17.54]  de
[00:17.66]  las
[00:17.84]  vent
[00:18.09] anas
[00:18.33]  de
[00:18.45]  la
[00:18.57]  casa
[00:18.82] ,
[00:19.00]  el
[00:19.22]  p
[00:19.66] iso
[00:19.72]  del
[00:19.99]  dep
[00:20.32] ós
[00:20.65] ito
[00:21.00]  donde
[00:21.34]  guard
[00:21.68] o
[00:21.74]  la
[00:21.87]  herramient
[00:22.55] a
[00:22.63]  vie
[00:22.80] ja
[00:23.00]  y
[00:23.24]  la
[00:23.24]  v
[00:23.32] iga
[00:23.56]  ma
[00:23.72] estra
[00:24.12]  que
[00:24.36]  mi
[00:24.52]  ab
[00:24.68] uel
[00:24.92] o
[00:25.00]  p
[00:25.11] uso
[00:25.32]  en
[00:25.48]  el
[00:25.64]  te
[00:25.80] cho
[00:26.04]  del
[00:26.28]  ranch
[00:26.68] o
[00:26.76]  en
[00:26.92]  1962
[00:27.99] .
[00:28.00]  Ses
[00:28.05] enta
[00:28.46]  y
[00:28.67]  tant
[00:28.80] os
[00:28.95]  años
[00:29.29]  después
[00:29.82] ,
[00:29.99]  esa
[00:30.49]  v
[00:30.81] iga
[00:30.86]  sigue
[00:31.48]  ahí
[00:32.22] ,
[00:32.48]  dere
[00:32.66] cha
[00:32.98] ,
[00:33.19]  sin
[00:33.63]  una
[00:33.79]  sola
[00:34.19]  gal
[00:34.49] er
[00:34.67] ía
[00:35.00] ,
[00:35.00]  sin
[00:35.08]  un
