[00:00.00]  Hay
[00:00.36]  un
[00:00.54]  olor,
[00:01.40]  un
[00:01.60]  olor
[00:02.16]  muy
[00:02.54]  particular
[00:02.96]  en
[00:03.14]  las
[00:03.38]  patas
[00:03.58]  de
[00:03.72]  un
[00:03.92]  perro,
[00:04.52]  que
[00:04.62]  apenas
[00:04.96]  lo
[00:05.20]  siento
[00:05.62]  ya
[00:06.14]  sé
[00:06.40]  casi
[00:06.92]  todo
[00:07.20]  lo
[00:07.34]  que
[00:07.36]  le
[00:07.60]  está
[00:07.72]  pasando,
[00:08.66]  antes
[00:08.80]  de
[00:09.04]  tocarlo,
[00:09.74]  antes
[00:10.02]  de
[00:10.18]  revisarlo,
[00:11.02]  antes
[00:11.30]  de
[00:11.54]  cualquier
[00:11.90]  estudio,
[00:12.68]  y
[00:12.80]  te
[00:12.92]  lo
[00:13.04]  digo
[00:13.34]  porque
[00:13.68]  lo
[00:13.90]  vuelo
[00:14.18]  casi
[00:14.64]  todos
[00:15.04]  los
[00:15.22]  días
[00:15.40]  en
[00:15.58]  mi
[00:15.78]  consultorio.
[00:16.62]  La
[00:16.80]  semana
[00:17.10]  pasada
[00:17.70]  entró
[00:17.94]  una
[00:18.08]  señora
[00:18.40]  con
[00:18.62]  un
[00:18.76]  Golden
[00:19.14]  hermoso,
[00:20.16]  un
[00:20.32]  perro
[00:20.60]  grandote
[00:21.06]  de
[00:21.22]  mirada
[00:21.54]  dulce,
[00:22.22]  que
[00:22.26]  se
[00:22.42]  llamaba
[00:22.94]  Roko.
[00:23.76]  La
[00:23.92]  mujer
[00:24.18]  estaba
[00:24.56]  al
[00:24.88]  borde
[00:25.14]  de
[00:25.30]  las
[00:25.48]  lágrimas,
[00:26.22]  me
[00:26.36]  dijo,
[00:26.78]  doctor,
[00:27.54]  ya
[00:27.72]  no
[00:27.84]  sé
[00:27.94]  qué
[00:28.18]  hacer,
[00:28.42]  se
[00:28.84]  lame
[00:29.06]  las
[00:29.32]  patas
[00:29.56]  de
[00:29.78]  día
[00:30.04]  y
[00:30.30]  de
[00:30.44]  noche,
[00:31.04]  no
[00:31.14]  duerme,
[00:31.88]  no
[00:31.96]  me
[00:32.10]  deja
[00:32.24]  dormir,
[00:33.06]  gasté
[00:33.20]  una
[00:33.44]  fortuna
[00:34.02]  y
[00:34.28]  nada.
[00:34.86]  Yo
[00:34.96]  me
[00:35.12]  agaché,
[00:35.84]  le
[00:35.96]  levanté
[00:36.22]  la
[00:36.40]  patita
[00:36.72]  a
[00:36.96]  Roko,
[00:37.46]  la
[00:37.70]  acerqué
