[00:00.08] En
[00:00.20]  la
[00:00.45]  est
[00:00.70] ep
[00:00.89] a
[00:00.98]  m
[00:01.08] ong
[00:01.70] ola
[00:01.79] ,
[00:01.81]  la
[00:01.96]  temperatura
[00:02.53]  baja
[00:02.76]  a
[00:03.00]  menos
[00:03.29]  30
[00:03.52]  grad
[00:03.77] os
[00:03.92]  cent
[00:04.19] í
[00:04.30] gr
[00:04.42] ados
[00:04.78]  en
[00:05.00]  inv
[00:06.24] ierno
[00:06.24] ,
[00:06.24]  y
[00:06.32]  los
[00:06.56]  nó
[00:06.80] m
[00:06.88] ades
[00:07.23]  du
[00:07.46] erm
[00:07.60] en
[00:07.76]  en
[00:07.92]  una
[00:08.16]  t
[00:08.24] ienda
[00:08.64]  de
[00:08.81]  f
[00:08.88] ielt
[00:09.20] ro
[00:09.51]  sin
[00:09.68]  c
[00:09.76] ale
[00:10.00] f
[00:10.08] acción
[00:10.64]  el
[00:10.80] é
[00:10.96] ct
[00:11.12] rica
[00:11.64] ,
[00:11.70]  sin
[00:12.03]  gas
[00:12.68] ,
[00:12.78]  sin
[00:12.98]  ningún
[00:13.63]  sistema
[00:14.28]  que
[00:14.57]  ench
[00:15.10] uf
[00:15.28] ar
[00:15.40] ,
[00:15.46]  y
[00:15.55]  no
[00:15.73]  mu
[00:15.91] eren
[00:16.28]  de
[00:16.46]  fr
[00:16.91] ío
[00:17.26] .
[00:17.26]  L
[00:17.34] le
[00:17.51] van
[00:17.76]  dos
[00:18.01]  mil
[00:18.26]  años
[00:18.69]  sin
[00:18.94]  mor
[00:19.19] ir
[00:19.36]  de
[00:19.53]  fr
[00:19.70] ío
[00:20.28] .
[00:20.28]  Eso
[00:20.55]  no
[00:20.73]  es
[00:20.91]  super
[00:21.36] vi
[00:21.54] ven
[00:21.81] cia
[00:22.26] ,
[00:22.37]  es
[00:22.44]  ingen
[00:22.89] ier
[00:23.16] ía
[00:23.62] ,
[00:23.68]  una
[00:23.85]  ingen
[00:24.23] ier
[00:24.52] ía
[00:24.70]  tan
[00:24.93]  precisa
[00:25.62] ,
[00:25.84]  tan
[00:25.85]  ajust
[00:26.24] ada
[00:26.52]  a
[00:26.58]  las
[00:26.76]  le
[00:26.90] yes
[00:27.11]  de
[00:27.26]  la
[00:27.39]  física
[00:27.89] ,
[00:28.25]  que
[00:28.55]  cuando
[00:28.70]  los
[00:28.89]  investig
[00:29.48] adores
[00:29.90]  de
[00:30.07]  la
[00:30.18]  Univers
[00:30.69] idad
[00:30.98]  de
[00:31.16]  Cambridge
[00:31.91]  la
[00:32.08]  estud
[00:32.27] i
[00:32.40] aron
[00:32.76]  en
[00:32.94]  det
[00:33.21] alle
[00:33.75] ,
[00:33.85]  en
[00:33.93]  2019
[00:35.21] ,
[00:35.57]  conc
[00:35.65] lu
[00:35.75] yer
[00:36.03] on
[00:36.20]  que
[00:36.47]  la
[00:36.65]  g
[00:36.80] ér
[00:37.01]  m
[00:37.10] ong
[00:37.37] ola
[00:37.82] ,
[00:38.00]  la
[00:38.09]  t
[00:38.14] ienda
[00:38.55]  circular
[00:39.28]  de
[00:39.52]  f
[00:39.55] ielt
[00:39.91] ro
[00:40.27] ,
[00:40.54]  es
[00:40.60]  uno
[00:40.81]  de
[00:40.95]  los
[00:41.16]  sistemas
[00:41.76]  de
[00:41.88]  regul
[00:42.27] ación
[00:42.67]  tér
[00:42.96] m
[00:43.11] ica
[00:43.24]  pas
[00:43.45] iva
[00:43.81]  más
[00:43.95]  efic
[00:44.24] ientes
[00:44.65]  que
[00:45.01]  el
[00:45.04]  ser
[00:45.26]  humano
[00:45.66]  ha
[00:45.90]  dise
[00:46.39] ñ
[00:46.63] ado
[00:47.00]  en
[00:47.24]  toda
[00:47.73]  su
[00:47.97]  historia
[00:49.22] .
[00:49.36]  M
[00:49.42] ás
[00:49.64]  e
[00:49.71] ficiente
[00:50.43]  en
[00:50.46]  términ
[00:50.94] os
[00:51.08]  de
[00:51.22]  relación
[00:51.88]  entre
[00:52.23]  material
[00:52.81] es
[00:52.95]  us
