[00:00.27] There
[00:00.41]  is
[00:00.57]  a
[00:00.69]  glass
[00:01.12]  jar
[00:01.30]  sitting
[00:01.87]  on
[00:02.03]  my
[00:02.19]  kitchen
[00:02.80]  windows
[00:03.36] ill
[00:03.60]  right
[00:04.16]  now
[00:04.45] .
[00:04.72]  It
[00:04.88]  has
[00:05.12]  half
[00:05.49]  an
[00:05.59]  inch
[00:05.90]  of
[00:06.15]  dark
[00:06.46]  liquid
[00:06.84]  in
[00:07.02]  the
[00:07.24]  bottom
[00:07.87]  and
[00:07.99]  a
[00:08.15]  cone
[00:08.48]  of
[00:08.75]  plain
[00:09.04]  brown
[00:09.36]  paper
[00:10.09]  sticking
[00:10.44]  down
[00:10.88]  into
[00:11.51]  it
[00:11.84] .
[00:11.84]  In
[00:12.01]  the
[00:12.27]  last
[00:12.63]  four
[00:12.97]  hours
[00:13.40] ,
[00:13.76]  it
[00:13.80]  has
[00:14.10]  caught
[00:14.72]  47
[00:15.32]  flies
[00:15.83] .
[00:16.16]  I
[00:16.29]  counted
[00:16.88]  them
[00:17.20] .
[00:17.52]  No
[00:17.78]  electric
[00:18.83]  trap
[00:19.42] ,
[00:19.57]  no
[00:19.60]  sticky
[00:20.09]  paper
[00:20.54]  hanging
[00:21.07]  from
[00:21.39]  the
[00:21.63]  ceiling
[00:22.40] ,
[00:22.59]  no
[00:22.61]  can
[00:22.89]  of
[00:23.06]  spray
[00:23.53]  on
[00:23.72]  the
[00:24.00]  counter
[00:24.61] .
[00:24.96]  The
[00:25.20]  dark
[00:25.52]  liquid
[00:25.99]  is
[00:26.19]  one
[00:26.39]  ingredient
[00:27.18]  you
[00:27.42]  already
[00:27.97]  have
[00:28.42]  in
[00:28.48]  your
[00:28.81]  pant
[00:29.14] ry
[00:29.30]  tonight
[00:29.92] .
[00:30.08]  And
[00:30.15]  you
[00:30.38]  would
[00:30.76]  never
[00:31.14]  guess
[00:31.52]  what
[00:31.83]  it
[00:31.98]  is
[00:32.12] .
[00:32.40]  The
[00:32.69]  paper
[00:33.05]  came
[00:33.38]  from
[00:33.71]  the
[00:33.95]  brown
[00:34.36]  grocery
[00:34.93]  bag
[00:35.33]  my
[00:35.33]  wife
[00:35.66]  brought
[00:36.23]  home
[00:36.56]  on
[00:36.72]  Tuesday
[00:37.29] .
[00:37.60]  The
[00:37.82]  whole
[00:38.20]  trap
[00:38.50]  cost
[00:38.80]  me
[00:38.95]  less
[00:39.25]  than
[00:39.55]  three
[00:39.93]  dollars
[00:40.46]  to
[00:40.61]  build
[00:41.04] ,
[00:41.04]  and
[00:41.28]  it
[00:41.44]  will
[00:41.76]  keep
[00:42.08]  working
[00:42.63]  from
[00:42.95]  now
[00:43.19]  until
[00:43.58]  the
[00:43.82]  first
[00:44.21]  frost
[00:44.59] .
[00:44.88]  My
[00:45.08]  name
[00:45.48]  is
[00:45.74]  Cl
[00:45.93] audio
[00:46.37] .
[00:46.72]  I
[00:46.91]  am
[00:47.11]  Am
[00:47.37] ish
[00:47.76] .
[00:48.16]  I
[00:48.31]  keep
[00:48.64]  nine
[00:49.03]  h
[00:49.12] ives
[00:49.51]  of
[00:49.70]  honey
[00:50.19] bees
[00:50.58]  on
[00:50.77]  this
[00:51.16]  farm
[00:51.55] .
[00:51.92]  My
[00:52.09]  wife
[00:52.44]  runs
[00:52.79]  a
[00:52.87]  roadside
[00:53.57]  stand
[00:53.99]  in
[00:54.16]  summer
[00:54.88]  where
[00:55.16]  she
[00:55.42]  sells
[00:55.86]  pies
[00:56.24] ,
[00:56.43]  and
[00:56.48]  I
[00:56.56]  have
[00:56.89]  not
[00:57.13]  killed
[00:57.62]  a
[00:57.70]  fly
[00:57.94]  with
[00:58.27]  a
[00:58.36]  sw
[00:58.53] atter
[00:58.92]  in
[00:59.08]  my
[00:59.24]  own
[00:59.48]  kitchen
[01:00.12]  in
[01:00.21]  11
[01:00.70]  years
[01:01.10] .
[01:01.44]  We
[01:01.64]  do
[01:01.84]  not
[01:02.22]  own
[01:02.46]  a
[01:02.56]  single
[01:03.18]  can
[01:03.49]  of
[01:03.69]  bug
[01:04.00]  spray
[01:04.52] .
[01:04.88]  We
[01:05.04]  do
[01:05.20]  not
[01:05.44]  have
[01:05.75]  one
[01:05.99]  of
[01:06.15]  those
[01:06.58]  blue
[01:06.85]  light
[01:07.24]  traps
[01:07.63]  that
[01:07.94]  buzz
[01:08.25]  in
[01:08.48]  the
[01:08.65]  corner
[01:09.12] .
[01:09.44]  We
[01:09.63]  do
[01:09.78]  not
[01:10.04]  have
[01:10.39]  screens
[01:11.01]  on
[01:11.17]  every
[01:11.60]  window
[01:12.15]  because
[01:12.48]  we
[01:12.66]  live
[01:13.18]  in
[01:13.25]  a
[01:13.36]  house
[01:13.84]  my
[01:14.08]  great
[01:14.32] -
[01:14.41] grand
[01:14.77] father
[01:15.32]  built
[01:15.75]  in
[01:15.84]  1903
[01:16.96] ,
[01:16.96]  and
[01:17.17]  the
[01:17.38]  windows
[01:17.89]  were
[01:18.18]  not
[01:18.40]  made
[01:18.68]  for
[01:18.89]  them
[01:19.18] .
[01:19.44]  What
[01:19.81]  we
[01:19.99]  have
[01:20.48]  is
[01:20.54]  a
[01:20.63]  glass
[01:21.15]  jar
[01:21.37] ,
[01:21.68]  a
[01:21.77]  piece
[01:22.12]  of
[01:22.33]  brown
[01:22.73]  paper
[01:23.20] ,
[01:23.33]  and
[01:23.41]  one
[01:23.62]  ingredient
[01:24.34]  from
[01:24.61]  the
[01:24.82]  pant
[01:25.10] ry
[01:25.24]  that
[01:25.52]  the
[01:25.75]  pest
[01:26.01]  control
[01:26.56]  aisle
[01:26.96]  at
[01:27.12]  your
[01:27.36]  hardware
[01:27.84]  store
[01:28.40]  does
[01:28.68]  not
[01:28.89]  want
[01:29.17]  you
[01:29.38]  to
[01:29.53]  remember
[01:30.08] .
[01:30.32]  I
[01:30.53]  am
[01:30.56]  going
[01:30.96]  to
[01:31.12]  show
