[00:00.13]  Sentate
[00:00.60]  un
[00:00.77]  ratito
[00:01.29]  conmigo,
[00:02.03]  que
[00:02.30]  esta
[00:02.43]  vieja
[00:02.74]  te
[00:02.84]  quiere
[00:03.20]  contar
[00:03.50]  otra
[00:03.87]  cosa.
[00:04.32]  La
[00:04.45]  otra
[00:04.69]  vez
[00:04.87]  te
[00:04.99]  hablé
[00:05.36]  de
[00:05.48]  los
[00:05.66]  postres
[00:06.09]  de
[00:06.34]  antes,
[00:06.72]  esos
[00:06.93]  que
[00:07.09]  llenaban
[00:07.52]  la
[00:07.60]  mesa
[00:07.81]  los
[00:07.97]  domingos
[00:08.44]  y
[00:08.60]  las
[00:08.72]  navidades.
[00:09.72]  Si
[00:09.88]  no
[00:10.06]  lo
[00:10.24]  viste,
[00:10.76]  anda
[00:11.08]  después,
[00:11.88]  te
[00:12.04]  va
[00:12.20]  a
[00:12.28]  hacer
[00:12.68]  bien.
[00:13.28]  Pero
[00:13.62]  hoy
[00:13.80]  quiero
[00:14.19]  ir
[00:14.33]  a
[00:14.41]  algo
[00:14.68]  todavía
[00:15.30]  más
[00:15.57]  chiquito
[00:16.10]  y
[00:16.15]  más
[00:16.48]  travieso.
[00:17.24]  Hoy
[00:17.58]  quiero
[00:18.08]  hablarte
[00:18.82]  de
[00:19.26]  unos
[00:19.37]  dulces,
[00:20.20]  de
[00:20.33]  esas
[00:20.67]  bolosinas
[00:21.52]  caseras
[00:22.02]  que
[00:22.27]  ya
[00:22.44]  no
[00:22.61]  se
[00:22.85]  hacen,
[00:23.40]  esas
[00:23.44]  que
[00:23.63]  no
[00:23.78]  venían
[00:24.21]  en
[00:24.34]  ningún
[00:24.79]  paquete
[00:25.43]  con
[00:25.46]  luces
[00:25.75]  de
[00:25.88]  colores,
[00:26.46]  que
[00:26.65]  se
[00:26.83]  hacían
[00:27.28]  en
[00:27.36]  la
[00:27.51]  cocina
[00:27.87]  con
[00:28.29]  las
[00:28.50]  manos
[00:29.04]  y
[00:29.15]  que
[00:29.48]  endulzaban
[00:30.55]  una
[00:30.88]  infancia
[00:31.75]  entera
[00:32.44]  sin
[00:32.73]  gastar
[00:33.38]  casi
[00:33.82]  nada.
[00:34.66]  Tengo
[00:35.00]  ochenta
[00:35.43]  y
[00:35.50]  dos
[00:35.68]  años
[00:36.00]  y
[00:36.06]  las
[00:36.25]  manos
[00:36.68]  cansadas,
[00:37.22]  pero
