[00:00.08]  Levantá
[00:00.64]  la
[00:00.89]  vista
[00:01.22]  un
[00:01.38]  segundo
[00:02.06]  y
[00:02.17]  mirá
[00:02.38]  el
[00:02.51]  techo
[00:02.83]  de
[00:02.97]  tu
[00:03.11]  casa.
[00:04.84]  Esa
[00:05.13]  losa
[00:05.52]  de
[00:05.73]  concreto
[00:06.51]  gris,
[00:07.09]  tan
[00:07.42]  maciza,
[00:08.26]  tan
[00:08.78]  firme,
[00:09.82]  te
[00:09.89]  está
[00:10.06]  mintiendo
[00:10.50]  en
[00:10.60]  la
[00:10.72]  cara.
[00:11.76]  Porque
[00:12.19]  por
[00:12.39]  dentro
[00:12.81]  no
[00:12.96]  es
[00:13.09]  una
[00:13.29]  piedra,
[00:13.93]  es
[00:14.06]  una
[00:14.34]  esponja,
[00:15.15]  una
[00:15.66]  esponja
[00:15.89]  enorme
[00:16.39]  y
[00:16.81]  sedienta.
[00:17.52]  Y
[00:17.60]  cada
[00:17.87]  vez
[00:18.08]  que
[00:18.28]  se
[00:18.43]  larga
[00:18.78]  a
[00:18.85]  llover,
[00:19.62]  ese
[00:19.69]  cemento
[00:20.05]  se
[00:20.17]  chupa
[00:20.49]  el
[00:20.58]  agua
[00:20.88]  en
[00:21.41]  silencio,
[00:22.05]  por
[00:22.18]  poros
[00:22.56]  que
[00:22.58]  ni
[00:22.83]  ves.
[00:23.64]  El
[00:23.81]  agua
[00:24.15]  entra,
[00:24.75]  moja
[00:25.09]  el
[00:25.26]  hierro
[00:25.81]  de
[00:25.94]  adentro,
[00:26.75]  y
[00:26.80]  el
[00:26.93]  hierro
[00:27.46]  se
[00:27.57]  empieza
[00:27.93]  a
[00:28.07]  oxidar,
[00:28.56]  y
[00:28.57]  el
[00:28.74]  óxido
[00:29.24]  crece,
[00:29.85]  empuja
[00:30.41]  y
[00:30.54]  raja
[00:30.80]  el
[00:30.97]  concreto
[00:31.67]  desde
[00:32.10]  el
[00:32.41]  corazón.
[00:33.40]  Después
[00:33.88]  aparece
[00:34.30]  la
[00:34.42]  mancha
[00:34.78]  amarilla
[00:35.25]  en
[00:35.50]  el
[00:35.57]  techo
[00:35.80]  del
[00:35.98]  living,
[00:36.53]  la
[00:36.69]  pintura
[00:37.33]  que
[00:37.52]  se
[00:37.69]  ampolla
[00:38.44]  y
[00:38.45]  la
[00:38.68]  gota.
[00:39.56]  Esa
[00:39.80]  gota
[00:40.13]  que
[00:40.45]  cae
[00:40.62]  a
[00:40.70]  las
[00:40.95]  3
[00:41.20]  de
[00:41.52]  la
[00:41.73]  mañana,
[00:42.27]  tac,
[00:42.67]  tac,
[00:43.33]  tac,
[00:43.60]  y
[00:43.68]  no
[00:43.96]  te
[00:44.61]  deja
[00:44.69]  dormir.
[00:45.84]  Y
[00:45.92]  yo
[00:46.03]  sé
[00:46.27]  lo
[00:46.36]  que
[00:46.56]  hiciste,
[00:47.16]  porque
[00:47.51]  lo
[00:47.97]  hice
[00:48.01]  yo
[00:48.10]  también.
[00:48.96]  Saliste
[00:49.39]  corriendo
[00:49.88]  a
[00:49.93]  la
[00:50.04]  ferretería
[00:50.66]  a
[00:51.12]  comprar
[00:51.13]  el
[00:51.23]  balde
[00:51.54]  más
[00:51.74]  caro
[00:51.96]  de
[00:52.07]  impermeabilizante,
[00:53.36]  el
[00:53.50]  acrílico
[00:54.13]  elástico
[00:54.76]  de
[00:54.89]  la
[00:55.03]  marca
[00:55.52]  de
[00:55.53]  moda,
[00:55.95]  ese
[00:56.16]  que
[00:56.37]  sale
[00:56.65]  una
[00:57.14]  fortuna.
[00:57.72]  Te
[00:57.79]  bancaste
[00:58.39]  todo
[00:58.69]  un
[00:58.84]  domingo
[00:59.31]  pintando
[00:59.96]  la
[01:00.11]  azotea
[01:00.55]  de
[01:00.70]  rojo
[01:01.00]  o
[01:01.06]  de
[01:01.21]  blanco,
[01:01.76]  y
[01:01.84]  bajaste
[01:02.27]  tranquilo
[01:02.85]  pensando
[01:03.37]  "listo,
[01:03.93]  ya
[01:04.01]  está",
[01:04.60]  pero
[01:04.95]  la
[01:05.12]  industria
[01:05.90]  se
[01:06.17]  ríe
[01:06.42]  a
[01:06.77]  tus
[01:06.81]  espaldas.
[01:07.56]  Porque
[01:08.02]  ellos
[01:08.45]  saben
[01:08.78]  que
[01:09.01]  en
[01:09.16]  unos
[01:09.73]  meses
[01:09.84]  el
[01:09.99]  sol
[01:10.22]  le
[01:10.37]  va
[01:10.53]  a
[01:10.59]  pegar
[01:10.97]  a
[01:11.27]  esa
[01:11.27]  goma,
[01:11.80]  la
[01:11.93]  humedad
[01:12.38]  que
[01:12.56]  quedó
[01:12.96]  atrapada
[01:13.47]  abajo
[01:13.92]  la
[01:13.97]  va
[01:14.05]  a
[01:14.11]  inflar
[01:14.51]  como
[01:14.77]  un
[01:14.91]  globo,
[01:15.28]  y
[01:15.36]  se
[01:15.46]  va
[01:15.58]  a
[01:15.64]  empezar
[01:16.05]  a
[01:16.17]  despellejar
[01:16.74]  como
[01:16.97]  una
[01:17.34]  espalda
[01:17.56]  quemada,
[01:18.16]  y
[01:18.22]  el
[01:18.34]  agua
[01:18.59]  se
[01:18.70]  te
[01:18.95]  va
[01:18.95]  a
[01:19.21]  volver
[01:19.39]  a
[01:19.41]  meter.
[01:19.84]  Justo
[01:20.14]  a
[01:20.20]  tiempo
[01:20.56]  para
[01:20.80]  que
[01:20.98]  compres
[01:21.40]  el
[01:21.51]  balde
[01:21.94]  de
[01:22.01]  nuevo.
[01:22.48]  Hoy
[01:22.66]  le
[01:22.78]  ponemos
[01:23.21]  un
[01:23.37]  punto
[01:23.64]  final
[01:23.95]  a
[01:24.01]  esa
[01:24.15]  estafa.
[01:24.88]  Te
[01:24.91]  voy
[01:25.08]  a
[01:25.14]  enseñar
[01:25.66]  a
[01:25.69]  preparar,
[01:26.23]  ahí
[01:26.46]  mismo
[01:26.86]  en
[01:26.96]  el
[01:26.97]  patio
[01:27.26]  de
[01:27.38]  tu
[01:27.48]  casa,
[01:27.96]  con
[01:28.13]  menos
[01:28.45]  de
[01:28.73]  dos
[01:28.75]  dólares,
[01:29.28]  un
[01:29.40]  verdadero
[01:29.94]  escudo
[01:30.30]  de
[01:30.42]  cristal.
[01:31.04]  Un
[01:31.17]  sellador
[01:31.71]  que
[01:31.91]  no
[01:32.04]  tapa
[01:32.31]  el
[01:32.44]  cemento
[01:33.11]  por
[01:33.21]  encima
[01:33.52]  como
[01:33.79]  una
[01:34.01]  curita,
[01:34.52]  sino
[01:34.78]  que
[01:34.97]  se
[01:35.10]  mete
[01:35.41]  por
[01:35.55]  las
[01:35.74]  venas
[01:36.05]  de
[01:36.19]  la
[01:36.51]  losa
[01:36.63]  y
[01:36.69]  la
[01:36.76]  plastifica
[01:37.40]  desde
[01:37.72]  adentro,
[01:38.28]  y
[01:38.36]  el
[01:38.47]  agua
[01:38.73]  va
[01:38.86]  a
[01:38.92]  rebotar
[01:39.37]  en
[01:39.50]  tu
[01:39.63]  azotea
[01:39.98]  como
[01:40.40]  si
[01:40.45]  le
[01:40.53]  cayera
[01:40.91]  un
[01:41.04]  vidrio
[01:41.41]  blindado.
[01:42.20]  Yo
[01:42.36]  soy
[01:42.63]  Tomás,
[01:43.24]  esto
[01:43.49]  es
[01:43.61]  El
[01:43.73]  Constructor
[01:44.41]  Libre.
[01:44.76]  Una
[01:44.99]  cosa
[01:45.30]  antes
[01:45.68]  de
[01:45.83]  arrancar,
[01:46.90]  rápida.
[01:47.40]  La
[01:47.55]  receta
[01:47.99]  de
[01:48.14]  hoy
[01:48.36]  con
[01:48.58]  las
[01:48.80]  medidas
[01:49.57]  exactas
[01:49.88]  y
[01:49.98]  otros
[01:50.37]  40
[01:50.79]  reglos
[01:51.33]  de
[01:51.48]  la
[01:51.53]  casa
[01:51.96]  como
[01:52.45]  este,
[01:52.72]  de
[01:52.76]  esos
[01:53.00]  que
[01:53.18]  el
[01:53.30]  albañil
[01:53.78]  te
[01:53.90]  cobra
[01:54.20]  una
[01:54.34]  fortuna
[01:54.81]  y
[01:54.86]  a
[01:54.92]  vos
[01:55.10]  te
[01:55.22]  salen
[01:55.52]  monedas.
[01:56.16]  Los
[01:56.34]  junte
[01:56.63]  todos
[01:56.92]  en
[01:57.03]  el
[01:57.16]  manual
[01:57.51]  del
[01:57.69]  Constructor
[01:58.33]  Libre,
[01:58.80]  el
[01:58.94]  link
[01:59.22]  está
[01:59.55]  abajo.
[02:00.16]  Es
[02:00.26]  la
[02:00.36]  libreta
[02:00.73]  que
[02:00.89]  te
[02:01.05]  hubiera
[02:01.36]  gustado
[02:01.74]  que
[02:01.90]  te
[02:01.99]  dejara
[02:02.33]  tu
[02:02.42]  abuelo.
[02:03.00]  Bajala
[02:03.43]  y
[02:03.49]  tenela
[02:03.91]  a
[02:03.98]  mano.
[02:04.52]  Ahora
[02:04.86]  sí,
[02:05.15]  agarra
[02:05.51]  mate
[02:05.76]  que
[02:05.95]  vamos
[02:06.39]  al
[02:06.39]  techo.
[02:06.96]  Antes
[02:07.39]  de
[02:07.56]  la
[02:07.72]  receta,
[02:08.44]  tenés
[02:08.86]  que
[02:09.13]  entender
[02:09.28]  por
[02:09.46]  qué
[02:09.71]  el
[02:09.83]  impermeabilizante
[02:10.92]  del
[02:11.09]  balde
[02:11.40]  te
[02:11.52]  falla
[02:12.01]  siempre.
[02:12.44]  Porque
[02:12.77]  si
[02:12.88]  no
[02:12.99]  entendés
[02:13.48]  esto,
[02:13.81]  cualquier
[02:14.53]  cosa
[02:14.61]  que
[02:14.69]  hagas
[02:14.96]  se
[02:15.07]  va
[02:15.18]  a
[02:15.23]  despegar
[02:15.66]  igual.
[02:16.20]  El
[02:16.32]  impermeabilizante
[02:17.37]  de
[02:17.49]  marca
[02:17.80]  es
[02:17.90]  una
[02:18.13]  goma,
[02:18.60]  una
[02:18.74]  capa
[02:19.03]  de
[02:19.18]  plástico
[02:19.85]  que
[02:20.07]  se
[02:20.21]  seca
[02:20.69]  arriba
[02:20.97]  del
[02:21.19]  cemento,
[02:21.85]  apoyada
[02:22.45]  nomás.
[02:22.92]  Y
[02:23.00]  tiene
[02:23.28]  tres
[02:23.52]  condenas
[02:24.00]  de
[02:24.12]  muerte,
[02:24.61]  tres.
[02:25.32]  La
[02:25.48]  primera,
[02:26.21]  se
[02:26.34]  apoya,
[02:26.88]  no
[02:27.01]  se
[02:27.20]  agarra,
[02:27.83]  como
[02:28.05]  una
[02:28.22]  cinta
[02:28.49]  adhesiva
[02:29.22]  sobre
[02:29.25]  una
[02:29.39]  pared
[02:29.67]  con
[02:29.82]  tierra.
[02:30.40]  A
[02:30.48]  la
[02:30.58]  primera
[02:30.99]  se
[02:31.11]  despega.
[02:31.72]  La
[02:31.87]  segunda,
[02:32.61]  y
[02:32.62]  es
[02:32.77]  la
[02:32.92]  que
[02:33.14]  casi
[02:33.39]  nadie
[02:33.89]  entiende,
[02:34.60]  sella
[02:35.07]  la
[02:35.55]  humedad
[02:35.85]  adentro.
[02:36.92]  Tu
[02:37.05]  losa
[02:37.35]  nunca
[02:37.64]  está
[02:37.97]  del
[02:38.17]  todo
[02:38.43]  seca.
[02:38.92]  Le
[02:39.08]  pintas
[02:39.55]  la
[02:39.79]  goma
[02:40.02]  encima
[02:40.52]  y
[02:40.58]  toda
[02:41.00]  esa
[02:41.09]  humedad
[02:41.42]  que
[02:41.60]  quedó
[02:41.95]  atrapada
[02:42.76]  abajo,
[02:42.76]  cuando
[02:43.19]  el
[02:43.26]  sol
[02:43.45]  calienta,
[02:44.12]  se
[02:44.26]  hace
[02:44.91]  vapor,
[02:45.08]  empuja
[02:45.54]  hacia
[02:45.91]  arriba
[02:46.39]  y
[02:46.69]  levanta
[02:46.88]  la
[02:47.03]  goma
[02:47.29]  en
[02:47.42]  ampollas.
[02:48.28]  Se
[02:48.34]  despega
[02:48.84]  sola,
[02:49.27]  desde
[02:49.64]  adentro.
[02:50.44]  Y
[02:50.52]  la
[02:50.69]  tercera,
[02:51.47]  el
[02:51.64]  sol.
[02:52.20]  Ese
[02:52.38]  acrílico
[02:52.92]  se
[02:53.09]  reseca,
[02:53.53]  se
[02:53.65]  pone
[02:53.89]  quebradizo,
[02:54.72]  se
[02:54.98]  cuartea,
[02:56.04]  y
[02:56.13]  por
[02:56.21]  cada
[02:56.33]  grieta
[02:56.78]  vuelve
[02:57.17]  a
[02:57.25]  entrar
[02:57.51]  el
[02:57.62]  agua.
[02:58.08]  En
[02:58.22]  un
[02:58.36]  verano
[02:58.77]  fuerte,
[02:59.31]  esa
[02:59.52]  capa
[02:59.78]  está
[03:00.24]  muerta.
[03:00.60]  Y
[03:00.68]  esto
[03:00.95]  la
[03:01.09]  industria
[03:01.72]  lo
[03:01.86]  sabe
[03:02.14]  perfecto.
[03:02.92]  No
[03:03.07]  es
[03:03.22]  un
[03:03.37]  error,
[03:03.91]  está
[03:04.30]  diseñado
[03:05.09]  para
[03:05.30]  durar
[03:05.68]  poco.
