[00:00.14]  Hay
[00:00.17]  un
[00:00.28]  líquido
[00:00.73]  que
[00:00.90]  podés
[00:01.24]  preparar
[00:01.70]  en
[00:01.81]  tu
[00:01.93]  casa
[00:02.24]  por
[00:02.44]  menos
[00:02.78]  de
[00:02.91]  un
[00:03.04]  dólar,
[00:03.66]  unas
[00:04.02]  pocas
[00:04.43]  monedas
[00:05.08]  y
[00:05.22]  le
[00:05.29]  devuelve
[00:05.85]  a
[00:05.94]  la
[00:06.05]  madera
[00:06.48]  gris,
[00:06.90]  agrietada,
[00:07.67]  quemada
[00:08.15]  por
[00:08.37]  el
[00:08.73]  sol,
[00:08.98]  el
[00:08.98]  aspecto
[00:09.33]  que
[00:09.48]  tenía
[00:09.80]  el
[00:09.94]  día
[00:10.19]  que
[00:10.41]  salió
[00:10.79]  de
[00:10.92]  fábrica.
[00:11.60]  No
[00:11.74]  con
[00:11.93]  pintura
[00:12.46]  que
[00:12.60]  tapa
[00:12.87]  el
[00:13.00]  dano,
[00:13.39]  no
[00:13.53]  con
[00:13.72]  un
[00:13.85]  tinte
[00:14.18]  que
[00:14.38]  se
[00:14.51]  borra
[00:14.84]  en
[00:14.97]  seis
[00:15.26]  meses,
[00:15.84]  este
[00:16.09]  penetra
[00:16.58]  en
[00:16.72]  la
[00:16.84]  veta
[00:17.09]  y
[00:17.18]  reconstruye
[00:17.89]  la
[00:18.02]  madera
[00:18.42]  desde
[00:18.76]  adentro
[00:19.22]  hacia
[00:19.56]  afuera.
[00:20.28]  Una
[00:20.48]  sola
[00:20.75]  mano
[00:21.02]  sobre
[00:21.36]  una
[00:21.56]  cerca
[00:21.90]  podrida
[00:22.37]  y
[00:22.43]  los
[00:22.66]  vecinos
[00:23.10]  van
[00:23.30]  a
[00:23.36]  creer
[00:23.89]  que
[00:23.94]  cambiaste
[00:24.50]  cada
[00:24.77]  tabla.
[00:25.58]  Una
[00:25.64]  sola
[00:25.91]  pasada
[00:26.31]  sobre
[00:26.66]  una
[00:26.85]  terraza
[00:27.35]  vieja,
[00:27.82]  gastada,
[00:28.38]  y
[00:28.44]  el
[00:28.57]  contratista
[00:29.35]  al
[00:29.46]  que
[00:29.64]  casi
[00:29.92]  llamas
[00:30.58]  se
[00:30.59]  queda
[00:30.86]  sin
[00:31.10]  el
[00:31.26]  trabajo.
[00:32.08]  Muebles
[00:32.50]  que
[00:32.68]  parecían
[00:33.22]  listos
[00:33.58]  para
[00:33.84]  el
[00:33.99]  basurero,
[00:34.54]  de
[00:34.66]  golpe
