[00:00.17]  Hay
[00:00.29]  una
[00:00.58]  madera
[00:01.17]  que
[00:01.45]  rompe
[00:01.93]  el
[00:02.12]  hacha
[00:02.85]  con
[00:03.11]  un
[00:03.41]  solo
[00:03.96]  golpe.
[00:05.20]  Escuchame
[00:06.08]  esto,
[00:06.64]  porque
[00:07.12]  cambia
[00:07.60]  como
[00:08.05]  vas
[00:08.09]  a
[00:08.15]  ver
[00:08.37]  la
[00:08.62]  madera
[00:08.96]  para
[00:10.15]  siempre.
[00:10.92]  La
[00:11.02]  clavas
[00:11.32]  en
[00:11.47]  la
[00:11.62]  tierra
[00:12.09]  desnuda,
[00:12.76]  sin
[00:13.08]  pinturas,
[00:13.77]  sin
[00:13.91]  químicos,
[00:14.63]  sin
[00:15.87]  nada,
[00:16.08]  y
[00:16.26]  sigue
[00:16.57]  firme
[00:17.15]  cien
[00:17.61]  años
[00:18.19]  después.
[00:19.36]  Postes
[00:19.64]  que
[00:19.88]  puso
[00:20.19]  un
[00:20.36]  hombre
[00:20.88]  que
[00:21.19]  ya
[00:21.27]  ni
[00:21.44]  sus
[00:21.72]  nietos
[00:22.25]  conocieron,
[00:23.33]  todavía
[00:24.22]  parados.
[00:25.21]  Durmientes
[00:25.85]  de
[00:26.01]  Trende
[00:26.48]  hace
[00:26.87]  un
[00:26.97]  siglo
[00:27.38]  que
[00:27.89]  todavía
[00:28.27]  aguantan
[00:28.91]  el
[00:29.07]  peso
[00:29.38]  de
[00:29.54]  una
[00:29.99]  locomotora.
[00:30.96]  Una
[00:31.13]  madera
[00:31.42]  tan
[00:31.64]  dura
[00:31.94]  que
[00:32.15]  se
[00:32.33]  hunde
[00:32.79]  en
[00:32.82]  el
[00:32.92]  agua
[00:33.21]  como
[00:33.74]  si
[00:33.85]  fuera
[00:34.18]  una
[00:34.45]  piedra
[00:35.20]  y
[00:35.37]  que
[00:35.40]  arde
[00:35.80]  tan
[00:36.10]  caliente
[00:36.92]  que
[00:37.22]  puede
[00:38.05]  rajar
[00:38.27]  la
[00:38.48]  chapa
[00:39.00]  de
[00:39.21]  una
[00:39.52]  estufa.
[00:40.72]  Los
[00:40.89]  que
[00:40.92]  la
[00:41.05]  conocían
[00:41.66]  fabricaban
[00:42.36]  con
[00:42.55]  ella
[00:42.80]  cosas
[00:43.46]  que
[00:43.57]  pasaban
[00:43.88]  de
[00:44.07]  padre
[00:44.48]  a
[00:44.58]  hijo
[00:45.19]  a
[00:45.67]  nieto.
[00:46.36]  Un
[00:46.54]  solo
[00:46.88]  poste,
[00:47.73]  tres
[00:48.20]  generaciones
[00:49.64]  mirándolo.
[00:51.54]  Y
[00:51.62]  después
[00:52.37]  llegó
[00:52.99]  el
[00:53.27]  alambre,
[00:54.29]  el
[00:54.33]  acero,
[00:55.02]  la
[00:55.22]  modernización
[00:56.96]  y
[00:57.04]  una
[00:57.13]  madera
[00:57.45]  que
[00:57.66]  dura
[00:57.94]  demasiado,
[00:58.79]  de
[00:58.90]  golpe
[00:59.36]  se
[00:59.81]  volvió
[01:00.18]  un
[01:00.37]  problema.
[01:01.64]  Empezaron
[01:02.22]  a
[01:02.30]  llamarla
[01:03.01]  plaga,
[01:03.64]  a
[01:03.76]  arrancarla,
[01:05.24]  a
[01:05.28]  reemplazarla
[01:06.10]  por
[01:06.41]  algo
[01:06.67]  que
[01:06.91]  hay
[01:07.15]  que
[01:07.39]  comprar
[01:08.09]  de
[01:08.13]  nuevo
[01:08.53]  cada
[01:08.86]  15
[01:09.35]  años.
[01:10.04]  Y
[01:10.18]  presta
[01:10.44]  atención
[01:11.23]  a
[01:11.30]  esto,
[01:11.87]  porque
[01:12.41]  es
[01:12.77]  el
[01:12.93]  corazón
[01:13.51]  de
[01:13.69]  toda
[01:14.06]  la
[01:14.98]  historia.
[01:15.52]  No
[01:15.64]  la
[01:15.69]  borraron
[01:16.28]  porque
[01:16.77]  fuera
[01:17.18]  mala,
[01:17.77]  la
[01:18.37]  borraron
[01:18.93]  porque
[01:19.49]  era
[01:20.47]  demasiado
[01:20.83]  buena.
[01:21.61]  Yo
[01:21.63]  soy
[01:21.92]  Tomás
[01:22.52]  y
[01:22.61]  hoy
[01:22.82]  te
[01:22.97]  voy
[01:23.27]  a
[01:23.27]  mostrar
[01:23.84]  la
[01:24.22]  madera
[01:24.44]  que
[01:24.65]  quisieron
[01:25.28]  que
[01:25.44]  olvidarás.
[01:26.84]  Esto
[01:27.35]  es
[01:27.70]  el
[01:28.05]  constructor
[01:30.00]  libre.
[01:31.12]  Vos
[01:31.29]  ya
[01:31.39]  la
[01:31.58]  conoces,
[01:32.45]  aunque
[01:33.03]  no
[01:33.22]  lo
[01:33.41]  sepas.
[01:34.16]  En
[01:34.20]  el
[01:34.33]  campo
[01:34.52]  tiene
[01:34.84]  un
[01:34.95]  nombre
[01:35.35]  que
[01:35.53]  lo
[01:35.65]  dice
[01:35.99]  todo.
[01:36.92]  Quiebra
[01:37.63]  hacha,
[01:38.36]  el
[01:38.62]  quebracho.
[01:40.08]  Le
[01:40.25]  pegas
[01:40.61]  con
[01:40.91]  el
[01:41.12]  hacha
[01:41.65]  y
[01:41.75]  el
[01:41.96]  hacha
[01:42.48]  rebota.
[01:43.68]  La
[01:43.85]  colonia
[01:44.07]  le
[01:44.20]  puso
[01:44.45]  ese
[01:44.65]  nombre
[01:45.05]  por
[01:45.28]  respeto
[01:45.84]  y
[01:45.96]  por
[01:46.17]  bronca
[01:46.60]  a
[01:46.72]  la
[01:46.97]  vez,
[01:47.56]  porque
[01:47.78]  partía
[01:48.27]  las
[01:48.48]  herramientas
[01:49.39]  al
[01:49.47]  medio.
[01:50.45]  Pero
[01:50.59]  no
[01:50.75]  es
[01:50.91]  la
[01:51.07]  única.
[01:52.00]  Este
[01:52.17]  país
[01:52.38]  está
[01:52.70]  lleno
[01:53.01]  de
[01:53.20]  estas
[01:53.47]  maderas
[01:53.96]  tercas
[01:54.73]  y
[01:54.89]  quiero
[01:55.24]  que
[01:55.41]  las
[01:55.52]  conozcas
[01:56.00]  por
[01:56.92]  nombre,
[01:57.12]  porque
[01:57.33]  son
[01:57.53]  un
[01:57.66]  tesoro
[01:58.06]  que
[01:58.29]  tenés
[01:58.66]  al
[01:58.79]  lado
[01:59.06]  y
[01:59.12]  no
[01:59.25]  lo
[01:59.38]  ves.
[02:00.08]  Está
[02:00.34]  el
[02:00.52]  nandubae
[02:01.27]  que
[02:01.52]  sostiene
[02:02.16]  los
[02:02.36]  alambrados
[02:03.04]  del
[02:03.25]  litoral
[02:03.76]  desde
[02:04.05]  hace
[02:04.27]  más
[02:04.67]  de
[02:05.03]  100
[02:05.12]  años.
[02:06.16]  Esos
[02:06.34]  postes
[02:06.87]  retorcidos
[02:07.79]  y
[02:07.88]  grises
[02:08.49]  que
[02:08.64]  ves
[02:08.88]  al
[02:09.01]  costado
[02:09.40]  de
[02:09.57]  la
[02:09.72]  ruta
[02:10.40]  y
[02:10.52]  que
[02:10.57]  ya
[02:10.68]  estaban
[02:11.26]  ahí
[02:11.60]  cuando
[02:12.08]  nació
[02:12.57]  tu
[02:12.73]  abuelo.
[02:13.72]  Está
[02:13.98]  el
[02:14.16]  urunday
[02:14.79]  rojo
[02:15.15]  como
[02:15.55]  la
[02:15.70]  sangre
[02:16.57]  cuando
[02:16.88]  lo
[02:17.13]  cortas.
[02:18.21]  Está
[02:18.44]  el
[02:18.60]  hitín,
[02:19.24]  el
[02:19.41]  algarrobo
[02:20.12]  viejo,
[02:20.89]  el
[02:20.96]  apacho.
[02:22.28]  Cada
[02:22.46]  región
[02:23.10]  tiene
[02:23.58]  la
[02:23.76]  suya.
[02:24.40]  Y
[02:24.48]  del
[02:24.57]  otro
[02:24.76]  lado
[02:25.04]  del
[02:25.25]  mundo,
[02:25.77]  la
[02:25.96]  misma
[02:26.46]  historia.
[02:27.76]  Los
[02:27.93]  indios
[02:28.34]  Osage
[02:28.77]  en
[02:28.95]  Norteamérica
[02:30.16]  hacían
[02:30.65]  sus
[02:30.84]  arcos
[02:31.17]  con
[02:31.29]  una
[02:31.46]  madera
[02:31.84]  igual
[02:32.34]  de
[02:32.71]  terca.
[02:33.32]  La
[02:33.49]  llamaban
[02:34.09]  la
[02:34.27]  madera
[02:34.86]  del
[02:35.15]  arco.
[02:36.08]  Un
[02:36.25]  solo
[02:36.29]  arco
[02:36.56]  de
[02:36.70]  esa
[02:36.90]  madera
[02:37.32]  valía
[02:37.73]  lo
[02:37.91]  que
[02:38.12]  un
[02:38.20]  caballo,
[02:39.96]  lo
[02:40.14]  que
[02:40.42]  un
[02:40.68]  caballo
[02:41.61]  entero.
[02:42.64]  Distintos
[02:43.13]  nombres,
[02:43.84]  distintos
[02:44.51]  países,
[02:45.62]  distintos
[02:46.28]  siglos
[02:46.84]  y
[02:46.93]  siempre
[02:47.59]  la
[02:47.77]  misma
[02:48.33]  madera
[02:48.85]  imposible.
[02:50.32]  Lo
[02:50.43]  que
[02:50.49]  nos
[02:50.62]  lleva
[02:50.93]  a
[02:50.99]  la
[02:51.11]  única
[02:51.49]  pregunta
[02:52.04]  que
[02:52.16]  importa.
[02:53.40]  ¿Por
[02:53.57]  qué
[02:53.74]  esta
[02:53.98]  madera
[02:54.34]  no
[02:54.46]  se
[02:54.59]  pudre
[02:54.92]  nunca
[02:55.65]  y
[02:55.92]  la
[02:56.23]  que
[02:56.29]  compras
[02:56.60]  en
[02:56.80]  el
[02:56.81]  corralón
[02:57.28]  se
[02:57.44]  te
[02:57.76]  deshace
[02:58.55]  en
[02:58.96]  cinco
[02:59.59]  años?
[03:01.00]  La
[03:01.18]  respuesta
[03:01.60]  está
[03:01.98]  dentro
[03:02.44]  de
[03:02.59]  la
[03:02.83]  fibra
[03:03.16]  y
[03:03.44]  cuando
[03:03.80]  la
[03:03.85]  entiendas,
[03:04.52]  no
[03:04.64]  la
[03:04.76]  vas
[03:04.97]  a
[03:05.02]  poder
[03:05.52]  dejar
[03:05.81]  de
[03:06.00]  ver.
[03:06.60]  Son
[03:06.96]  tres
[03:07.44]  cosas.
[03:08.60]  La
[03:08.78]  primera,
[03:09.79]  la
[03:10.03]  densidad.
[03:11.81]  Estas
[03:12.17]  maderas
[03:12.91]  crecen
[03:13.55]  lento,
[03:14.49]  pero
[03:14.70]  lento
[03:15.22]  en
[03:15.43]  serio.
[03:16.24]  Anillo
[03:16.64]  fino
[03:17.03]  sobre
[03:17.54]  anillo
[03:18.14]  fino
[03:18.57]  durante
[03:19.28]  décadas.
[03:20.32]  A
[03:20.49]  veces
[03:20.56]  un
[03:20.70]  siglo
[03:21.07]  para
[03:21.36]  engordar
[03:21.94]  lo
[03:22.15]  que
[03:22.36]  un
[03:22.48]  pino
[03:22.84]  engorda
[03:23.50]  en
[03:23.73]  10
[03:24.29]  años.
[03:25.24]  Esa
[03:25.41]  madera
[03:25.67]  tan
[03:25.88]  apretada
[03:26.44]  casi
[03:26.72]  no
[03:26.86]  tiene
[03:27.24]  aire
[03:27.52]  adentro
[03:28.52]  y
[03:28.65]  por
[03:28.85]  eso
[03:29.10]  pesa
[03:29.42]  como
[03:29.80]  el
[03:30.19]  hierro
[03:30.96]  y
[03:31.10]  por
[03:31.14]  eso
[03:31.36]  se
[03:31.53]  hunde
[03:31.96]  en
[03:32.13]  el
[03:32.30]  agua
[03:32.65]  en
[03:32.82]  vez
[03:33.08]  de
[03:33.25]  flotar.
[03:34.32]  Acordate
[03:34.89]  de
[03:35.08]  esto.
[03:36.00]  Donde
[03:36.37]  no
[03:36.59]  entra
[03:37.17]  el
[03:37.40]  aire
[03:37.86]  ni
[03:38.09]  el
[03:38.33]  agua,
[03:39.00]  no
[03:39.20]  entra
[03:39.70]  la
[03:39.89]  pudrición.
[03:41.61]  La
[03:41.62]  pudrición
[03:42.48]  necesita
[03:43.27]  esos
[03:43.54]  huecos
[03:44.14]  y
[03:44.29]  acá
[03:44.56]  no
[03:44.94]  los
[03:45.50]  hay.
[03:46.28]  La
[03:46.46]  segunda
[03:46.72]  es
[03:46.86]  la
[03:47.00]  más
[03:47.28]  importante,
[03:48.16]  así
[03:48.54]  que
[03:48.64]  quédate
[03:49.33]  con
[03:49.69]  esta.
[03:50.44]  No
[03:50.61]  es
[03:50.66]  solo
[03:51.09]  dura,
[03:51.76]  es
[03:52.03]  venenosa
[03:53.29]  para
[03:53.67]  lo
[03:53.94]  que
[03:54.41]  la
[03:54.63]  quiere
[03:55.39]  comer.
[03:56.16]  Adentro
[03:56.50]  el
[03:56.66]  árbol
[03:57.13]  fabrica
[03:57.67]  sus
[03:57.99]  propios
[03:58.52]  químicos,
[03:59.65]  taninos,
[04:00.77]  resinas,
[04:01.47]  aceites.
[04:02.88]  Se
[04:03.05]  llaman
[04:03.57]  extractivos
[04:04.81]  y
[04:04.92]  son
[04:05.26]  el
[04:05.73]  arma
[04:05.93]  secreta.
[04:07.47]  El
[04:07.49]  hongo
[04:07.84]  que
[04:08.07]  pudre
[04:08.52]  cualquier
[04:09.15]  madera
[04:09.60]  común
[04:10.17]  no
[04:10.21]  puede
[04:10.59]  digerir
[04:11.12]  el
[04:11.29]  quebracho.
[04:12.24]  Se
[04:12.40]  muere
[04:12.67]  de
[04:12.85]  hambre
[04:13.41]  encima
[04:13.93]  de
[04:14.11]  él.
[04:14.88]  La
[04:15.05]  termita
[04:15.36]  lo
[04:15.51]  muerde
[04:15.96]  una
[04:16.19]  vez
[04:16.42]  y
[04:16.49]  se
[04:16.71]  va
[04:16.84]  a
[04:16.92]  buscar
[04:17.37]  algo
[04:17.77]  más
[04:17.97]  blando.
[04:18.88]  La
[04:19.06]  bacteria
[04:19.70]  no
[04:19.89]  lo
[04:20.10]  toca.
[04:21.04]  El
[04:21.21]  árbol
[04:21.57]  se
[04:21.75]  blindó
[04:22.41]  solo
[04:22.87]  desde
[04:23.30]  adentro
[04:24.00]  mientras
[04:24.56]  crecía
[04:25.68]  con
[04:25.92]  veneno
[04:26.16]  para
[04:26.54]  todo
[04:26.84]  lo
[04:27.12]  que
[04:27.29]  lo
[04:27.45]  ataca
[04:27.98]  y
[04:28.07]  la
[04:28.32]  tercera
[04:29.04]  por
[04:29.37]  todo
[04:29.97]  eso
[04:30.11]  no
[04:30.40]  necesita
[04:30.99]  que
[04:31.11]  la
[04:31.20]  pintes
[04:31.72]  ni
[04:32.00]  que
[04:32.07]  la
[04:32.12]  trates
[04:32.68]  ni
[04:33.21]  la
[04:33.22]  cuides.
[04:33.96]  Ya
[04:34.24]  viene
[04:34.55]  con
[04:34.87]  la
[04:34.97]  protección
[04:35.93]  puesta
[04:36.45]  de
[04:36.56]  fábrica
[04:37.35]  y
[04:37.35]  no
[04:37.49]  una
[04:37.99]  protección
[04:38.53]  de
[04:38.76]  cinco
[04:39.03]  años
[04:39.50]  como
[04:39.93]  la
[04:40.05]  del
[04:40.33]  corralón,
[04:41.44]  cien
[04:41.72]  años
[04:42.19]  de
[04:42.37]  fábrica,
[04:43.40]  cien
[04:43.80]  años
[04:44.32]  y
[04:44.64]  gratis.
[04:46.16]  El
[04:46.34]  árbol
[04:46.96]  lo
[04:47.22]  hizo
[04:47.73]  solo
[04:48.28]  y
[04:48.41]  quiero
