[00:00.07] Hay
[00:00.24]  una
[00:00.48]  est
[00:00.72] uf
[00:00.87] a
[00:00.94]  de
[00:01.10]  bar
[00:01.34] ro
[00:01.54]  en
[00:01.65]  el
[00:01.78]  r
[00:01.84] inc
[00:02.03] ón
[00:02.24]  del
[00:02.55]  gal
[00:02.86] p
[00:02.96] ón
[00:03.27]  de
[00:03.46]  mi
[00:04.12]  casa
[00:04.16] .
[00:04.16]  La
[00:04.39]  hizo
[00:04.86]  mi
[00:05.10]  vie
[00:05.44] jo
[00:05.67]  en
[00:05.90]  1979
[00:07.42]  con
[00:07.54]  la
[00:07.66]  tierra
[00:08.04]  que
[00:08.22]  sac
[00:08.40] amos
[00:08.64]  al
[00:08.83]  cav
[00:09.04] ar
[00:09.25]  el
[00:09.36]  po
[00:09.52] zo
[00:09.70]  del
[00:10.17]  al
[00:10.79] ji
[00:11.12] be
[00:11.14] .
[00:11.14]  Le
[00:11.39]  pus
[00:11.56] imos
[00:11.90]  dos
[00:12.15]  bal
[00:12.40] des
[00:12.65]  de
[00:12.82]  arc
[00:13.07] illa
[00:13.62] ,
[00:13.69]  tres
[00:13.94]  bal
[00:14.18] des
[00:14.48]  de
[00:14.58]  tierra
[00:15.12]  del
[00:15.30]  propio
[00:15.78]  ter
[00:16.38] reno
[00:16.38] ,
[00:16.38]  un
[00:16.62]  pu
[00:16.78] ñ
[00:16.98] ado
[00:17.26]  de
[00:17.46]  p
[00:17.56] aja
[00:17.84]  se
[00:18.28] ca
[00:18.31]  y
[00:18.36]  agua
[00:18.68]  hasta
[00:19.08]  que
[00:19.32]  la
[00:19.48]  mez
[00:19.72] cla
[00:19.96]  qued
[00:20.28] ó
[00:20.44]  como
[00:20.76]  masa
[00:21.08]  de
[00:21.48]  pan
[00:21.78] .
[00:21.78]  La
[00:21.97]  levant
[00:22.55] amos
[00:22.93]  en
[00:23.12]  una
[00:23.41]  tarde
[00:24.22] .
[00:24.27]  Se
[00:24.38]  sec
[00:24.64] ó
[00:24.77]  en
[00:24.93]  una
[00:25.17]  semana
[00:25.63] .
[00:25.95]  L
[00:26.10] le
