[00:00.07]  Fíjate
[00:00.52]  bien
[00:00.83]  lo
[00:01.00]  que
[00:01.21]  va
[00:01.36]  a
[00:01.42]  pasar
[00:01.81]  con
[00:02.04]  esta
[00:02.35]  agua.
[00:02.80]  Estoy
[00:03.09]  echando
[00:03.49]  un
[00:03.60]  chorro
[00:03.94]  de
[00:04.05]  agua
[00:04.32]  sobre
[00:04.66]  una
[00:04.86]  tabla
[00:05.19]  de
[00:05.52]  madera
[00:05.72]  común.
[00:06.20]  Madera
[00:06.64]  de
[00:06.79]  pino,
[00:07.20]  de
[00:07.26]  la
[00:07.34]  que
[00:07.46]  compras
[00:07.74]  en
[00:07.81]  cualquier
[00:08.22]  corralón
[00:08.60]  por
[00:09.11]  dos
[00:09.25]  pesos.
[00:09.80]  Y
[00:09.97]  mira,
[00:10.60]  el
[00:10.80]  agua
[00:11.15]  no
[00:11.28]  la
[00:11.45]  moja,
[00:12.00]  no
[00:12.20]  entra,
[00:12.90]  no
[00:13.06]  la
[00:13.22]  mancha.
[00:14.00]  Las
[00:14.22]  gotas
[00:14.59]  se
[00:14.74]  juntan,
[00:15.35]  se
[00:15.49]  hacen
[00:15.87]  una
[00:16.09]  bolita
[00:16.66]  y
[00:16.86]  resbalan
[00:17.23]  como
[00:17.39]  si
[00:17.49]  la
[00:17.62]  madera
[00:18.02]  fuera
[00:18.38]  de
[00:18.52]  plástico,
[00:19.20]  como
[00:19.47]  si
[00:19.62]  fuera
[00:19.92]  mármol
[00:20.37]  pulido.
[00:21.00]  Pero
[00:21.32]  es
[00:21.48]  madera.
[00:22.20]  La
[00:22.37]  misma
[00:22.71]  madera
[00:23.20]  que,
[00:23.54]  sin
[00:23.73]  esto,
[00:24.22]  con
[00:24.40]  una
[00:24.60]  sola
[00:25.06]  gota
[00:25.12]  se
[00:25.25]  hincha,
[00:25.82]  se
[00:26.01]  pone
[00:26.44]  negra
[00:27.04]  y
[00:27.06]  en
[00:27.13]  un
[00:27.22]  invierno
[00:27.60]  se
[00:27.82]  te
[00:28.02]  deshace.
[00:28.89]  Y
[00:28.97]  lo
[00:29.06]  que
[00:29.32]  le
[00:29.49]  pase
[00:29.84]  por
[00:30.14]  encima
[00:30.63]  cuesta
[00:31.15]  casi
[00:31.71]  nada.
[00:32.20]  Un
[00:32.37]  frasco
[00:32.72]  de
[00:32.85]  una
[00:33.05]  cosa
[00:33.31]  y
[00:33.38]  un
[00:33.54]  poco
[00:33.78]  de
[00:33.91]  otra
[00:34.22]  que
[00:34.38]  ya
[00:34.51]  tenés
[00:35.04]  en
[00:35.11]  tu
[00:35.17]  casa.
[00:35.60]  Se
[00:35.77]  prepara
[00:36.24]  en
[00:36.38]  dos
[00:36.60]  minutos,
[00:37.23]  se
[00:37.37]  seca
[00:37.65]  en
[00:37.79]  cinco,
[00:38.30]  y
[00:38.51]  con
[00:38.54]  lo
[00:38.65]  que
[00:38.83]  sale
[00:39.04]  un
[00:39.15]  café
[00:39.50]  impermeabilizas
[00:40.46]  una
[00:40.58]  casa
[00:40.82]  entera.
[00:41.40]  Por
[00:41.69]  eso,
[00:42.17]  este
[00:42.55]  truco
[00:43.01]  casi
[00:43.42]  no
[00:43.59]  se
[00:43.78]  conoce.
[00:44.40]  Porque
[00:44.82]  el
[00:44.92]  día
[00:45.17]  que
[00:45.40]  la
[00:45.50]  gente
[00:45.82]  aprende
[00:46.27]  a
[00:46.33]  hacer
[00:46.65]  esto
[00:47.04]  en
[00:47.04]  su
[00:47.31]  cocina,
[00:47.60]  las
[00:47.80]  fábricas
[00:48.38]  de
[00:48.51]  impermeabilizantes,
[00:49.82]  de
[00:49.95]  selladores,
[00:50.73]  de
[00:50.86]  barnices
[00:51.38]  caros,
[00:51.94]  se
[00:52.05]  quedan
[00:52.46]  sin
[00:52.60]  vender.
[00:53.33]  Un
[00:53.37]  tarrito
[00:53.79]  casero
[00:54.20]  reemplaza
[00:54.79]  productos
[00:55.40]  de
[00:55.53]  30,
[00:56.11]  de
[00:56.25]  40
[00:56.59]  pesos,
[00:57.06]  que
[00:57.26]  se
[00:57.39]  descascaran
[00:58.13]  en
[00:58.26]  una
[00:58.45]  temporada.
[00:59.20]  Y
[00:59.37]  eso
[00:59.48]  no
[00:59.62]  lo
[00:59.75]  pueden
[01:00.20]  permitir.
[01:01.00]  Así
[01:01.28]  que
[01:01.49]  dejaron
[01:02.00]  de
[01:02.12]  nombrarlo.
[01:03.00]  Lo
[01:03.17]  taparon
[01:03.63]  con
[01:03.84]  etiquetas
[01:04.47]  caras
[01:04.82]  y
[01:04.89]  frascos
[01:05.38]  con
[01:05.91]  spray.
[01:06.20]  Pero
[01:06.49]  el
[01:06.63]  truco
[01:06.98]  sigue
[01:07.34]  ahí
[01:07.62]  y
[01:07.70]  hoy
[01:07.92]  te
[01:08.06]  lo
[01:08.22]  devuelvo,
[01:09.11]  completo.
[01:09.80]  Con
[01:09.98]  esto
[01:10.22]  vas
[01:10.40]  a
[01:10.46]  impermeabilizar
[01:11.36]  la
[01:11.51]  madera,
[01:12.00]  el
[01:12.14]  cartón,
[01:12.85]  la
[01:12.95]  tela,
[01:13.42]  las
[01:13.64]  botas,
[01:14.20]  el
[01:14.38]  galpón,
[01:15.20]  los
[01:15.42]  muebles
[01:16.10]  del
[01:16.11]  patio,
[01:16.60]  todo.
[01:17.40]  Yo
[01:17.57]  soy
[01:17.82]  Tomás
[01:18.24]  y
[01:18.31]  esto
[01:18.61]  es
[01:18.76]  El
[01:18.90]  Constructor
[01:19.75]  Libre.
[01:20.52]  Préstame
[01:20.93]  20
[01:21.30]  minutos
[01:21.75]  y
[01:21.79]  no
[01:21.90]  vas
[01:22.10]  a
[01:22.15]  comprar
[01:22.58]  impermeabilizante
[01:23.60]  nunca
[01:23.90]  más.
[01:24.40]  Antes
[01:24.82]  de
[01:24.93]  mostrarte
[01:25.63]  la
[01:25.78]  mezcla,
[01:26.42]  quiero
[01:26.79]  que
[01:27.30]  entiendas
[01:27.78]  una
[01:28.01]  cosa.
[01:28.60]  Porque
[01:29.02]  si
[01:29.08]  no
[01:29.19]  entendés
[01:29.74]  esto,
[01:30.10]  no
[01:30.21]  vas
[01:30.40]  a
[01:30.46]  saber
[01:30.76]  cuándo
[01:31.42]  usarlo.
[01:31.60]  Y
[01:31.77]  peor,
[01:32.19]  cuándo
[01:32.79]  no
[01:32.96]  usarlo.
[01:33.80]  Pensá
[01:34.22]  un
[01:34.32]  segundo
[01:34.80]  en
[01:34.91]  todo
[01:35.17]  lo
[01:35.30]  que
[01:35.51]  se
[01:35.63]  te
[01:35.82]  arruina
[01:36.20]  en
[01:36.47]  la
[01:36.71]  casa.
[01:37.00]  La
[01:37.17]  madera
[01:37.52]  de
[01:37.65]  la
[01:37.78]  cerca
[01:38.11]  que
[01:38.35]  se
[01:38.44]  pudre.
[01:39.00]  El
[01:39.17]  deck
[01:39.48]  que
[01:39.72]  se
[01:39.88]  pone
[01:40.20]  gris
[01:40.52]  y
[01:40.60]  se
[01:40.76]  levanta.
[01:41.60]  La
[01:41.77]  puerta
[01:42.12]  del
[01:42.32]  galpón
[01:42.77]  que
[01:42.97]  se
[01:43.10]  hincha
[01:43.49]  y
[01:43.55]  no
[01:43.68]  cierra
[01:44.05]  en
[01:44.40]  invierno.
[01:45.00]  La
[01:45.17]  caja
[01:45.33]  de
[01:45.44]  cartón
[01:45.84]  del
[01:46.01]  depósito
[01:46.52]  que
[01:46.71]  se
[01:46.80]  deshace
[01:47.19]  con
[01:47.35]  la
[01:47.46]  humedad.
[01:48.20]  La
[01:48.37]  lona
[01:48.65]  que
[01:48.88]  se
[01:49.03]  pica.
[01:49.75]  Las
[01:49.78]  botas
[01:50.08]  que
[01:50.26]  se
[01:50.38]  empapan
[01:50.80]  y
[01:50.86]  te
[01:50.98]  quedan
[01:51.34]  los
[01:51.52]  pies
[01:51.76]  helados.
